Epoch,Train Loss,Val Loss
1,80.03879434176854,71.75730908222688
2,67.16275512831551,66.37269262167123
3,63.989044045039584,63.68696305690668
4,62.215094347000125,66.15794820051927
5,61.01840213094439,62.7694730758667
6,59.35058573450361,63.72821683150072
7,58.133031339645385,63.20183854225354
8,56.5116968188967,60.79957078053401
9,55.6112353508813,60.023851284613976
10,54.505909554617745,61.60787460131523
11,53.421344973700386,58.17579227838761
12,52.10491652761187,60.22770355909299
13,50.99044646808079,60.57770526103484
14,49.78363622052329,63.91871611277262
15,48.6661521598271,62.96334977027698
16,48.339184787614,60.84580833483965
17,46.92040986674173,61.42089789952987
18,46.36274532726833,59.52359239871685
19,37.8174365064076,60.64382346471151
20,35.82001875468663,62.36168970205845
21,35.29723081384386,61.93710576570951
22,34.470941348757066,61.5725284967667
23,33.73127741268703,61.620711302145935
24,33.39029608454023,62.12663879149999
25,32.59519906691143,63.40460799290584
26,31.372655164854866,63.554405481387406
27,31.131622836249214,63.837639417403786
28,30.567538650035857,63.782592969063
29,30.534069296973094,64.112962551606
30,30.77518195969718,64.13289801279704
31,30.58650608267103,63.984829022334175
32,30.423221760817935,64.12498058416905
33,30.234363820893424,64.87467743800237
34,30.312263384205956,64.34073577783046
35,30.144650314194816,64.20810868189885
36,30.075625788143704,64.84504373256976
37,30.141705162865776,64.08032449086507
38,30.08859474284308,64.71828450912085
39,30.44094854899815,64.29209517209958
40,30.54925385747637,64.30751470419077
41,30.325806651456016,64.22444605216002
42,30.18031893491745,63.95884577433268
43,30.269660954475402,64.36912672336285
44,30.464238953590392,64.49980509586824
45,30.29306435755321,64.77489176774637
46,30.32556396654674,64.08327706654866
47,30.185262290409632,64.36146887754782
48,30.3613911989757,64.44167753366324
49,30.087703597545623,64.29779979510185
50,30.02790531022208,64.43593272184714
51,30.47207395689828,64.54568339616824
52,30.174886099270413,64.57828044891357
53,30.33700519323349,64.28236373265584
54,30.29390216963632,64.36092783854558
55,30.56125663621085,64.19764540745662
56,30.21141622747694,64.449753565666
57,30.024510198320662,64.28953511898334
58,30.05976846388408,64.55911690149551
59,30.424130450998035,64.51749473963028
60,30.526945192473274,64.30694665664282
61,30.235093801362172,64.39062037834755
62,30.49932775293078,64.14611543753209
63,30.428020800181798,64.37129898560353
64,30.131989702156613,64.63677438100179
65,30.110975603716714,64.26572608947754
66,30.451740936551776,64.14517048077705
67,30.4915493454252,64.36845088616396
68,30.14865459578378,64.3563668177678
69,30.324933259146555,64.58380960806822
70,30.386585542133876,64.32885580796462
71,30.430413382053374,64.26240439292712
72,30.00989056621279,64.6657748344617
73,30.317448099000114,64.64908705002222
74,30.17291612829481,64.22902898299388
75,29.937612687519618,64.37694340485793
76,30.558155677659173,64.20658975992447
77,29.91446699789592,64.48163056984926
78,30.04742418902261,64.60517002986028
79,30.431062252862112,64.3880189137581
80,30.131404024532863,64.79455852508545
81,30.293212243148258,64.62223293842413
82,30.15522330215999,64.65680332672902
83,30.362181029319764,64.30306759858743
84,30.023343707493375,64.8444114098182
85,30.575583763803756,64.2228781259977
86,30.579778735978262,64.33422668163593
87,29.834481246812004,64.18691338025607
